,id,width,npaths,length,fatness,centroid_x_pix,centroid_y_pix,centroid_x,centroid_y,image,img_x,img_y,N,label
0,0,24.331050121192877,5,28.933364619034286,81.63585642736206,107.74216765453006,450.88950042337,6.280578561600339,12.075808592647475,"[[False False False ...  True  True False]
 [False False False ...  True  True  True]
 [False False False ...  True  True False]
 ...
 [ True  True  True ... False False False]
 [False False  True ... False False False]
 [False False False ... False False False]]",6,12,0,0_6_12
0,0,17.88854381999832,3,87.54226146708767,19.41919218798261,86.27882352941177,177.94941176470587,48.22468443627451,15.786590073529412,"[[False False  True ... False False False]
 [False  True  True ... False False False]
 [False  True  True ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",48,15,1,0_48_15
0,0,28.284271247461902,1,201.01219330881977,12.536552925067907,234.22896825396825,153.14444444444445,20.609971271494707,2.8511863425925927,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",20,2,2,0_20_2
0,0,43.68065933568311,13,27.070572628600303,580.92601939958,273.85781508330155,74.08253847132139,21.713171393446096,3.057076722730934,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",21,2,3,0_21_2
0,0,27.784887978899608,1,159.1076477383248,22.582195457437724,276.42443640411915,122.74839966601725,20.719855303135727,4.93034270920308,"[[False False  True ... False False False]
 [False  True  True ... False False False]
 [False  True  True ... False False False]
 ...
 [False False False ...  True False False]
 [False False False ... False False False]
 [False False False ... False False False]]",20,4,4,0_20_4
1,1,18.867962264113206,1,130.78174593052015,12.815244115875325,401.6831742243437,244.5626491646778,21.046049932875896,4.613118101133652,"[[False False  True ... False False False]
 [False  True  True ... False False False]
 [ True  True  True ... False False False]
 ...
 [False False False ...  True  True  True]
 [False False False ...  True  True  True]
 [False False False ...  True  True False]]",20,4,5,1_20_4
0,0,28.635642126552707,1,165.92388155425135,18.906259729551408,369.4619062798852,170.65859101051961,18.9621403809372,1.8055765859101052,"[[False False False ... False False False]
 [False False False ...  True False False]
 [False False False ...  True False False]
 ...
 [False  True  True ... False False False]
 [False  True  True ... False False False]
 [False False  True ... False False False]]",18,1,6,0_18_1
0,0,16.1245154965971,1,132.40916292848965,11.7892143222977,152.32863549007047,95.99743754003843,19.396689154922058,4.000006673072816,"[[False False False ... False False False]
 [False  True  True ... False False False]
 [ True  True  True ... False False False]
 ...
 [False False False ...  True  True  True]
 [False False False ...  True  True False]
 [False False False ...  True False False]]",19,3,7,0_19_3
1,1,18.867962264113206,5,20.25820512419392,115.8542914148416,346.65019173412867,365.47209203238174,19.902734874307626,3.298249760332339,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",19,3,8,1_19_3
0,0,19.697715603592208,3,97.25602235730163,24.25556734505804,140.55489614243322,303.56591776176344,14.36602837537092,4.459463755828741,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ...  True  True False]
 [False False False ...  True  True False]
 [False False False ...  True False False]]",14,4,9,0_14_4
0,0,26.832815729997478,5,44.25820512419393,97.69939806339475,320.0652173913044,152.30064754856613,4.833503170289855,8.853383730342276,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False  True ...  True  True False]
 [False False False ...  True False False]
 [False False False ...  True False False]]",4,8,10,0_4_8
1,1,20.8806130178211,4,76.20763859360005,26.952678732817944,194.47565725413827,236.730282375852,4.506447024099319,8.633514889646218,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",4,8,11,1_4_8
2,2,25.45584412271571,3,75.17640687119281,27.97420211374665,266.91012838801714,264.82881597717545,4.695078459343795,8.560341625059438,"[[False False False ... False False False]
 [False False False ...  True False False]
 [False False False ...  True  True False]
 ...
 [False  True  True ... False False False]
 [False False  True ... False False False]
 [False False False ... False False False]]",4,8,12,2_4_8
3,3,26.832815729997478,3,35.32709016916713,76.4852125397596,228.36528497409327,360.24463360473726,4.594701262953368,8.311862933320997,"[[False False False ... False False False]
 [False False False ...  True  True False]
 [False False False ...  True  True  True]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",4,8,13,3_4_8
0,0,29.732137494637012,1,140.85281374238573,24.209669011204532,258.22991202346043,60.197360703812315,12.672473729227761,2.093236039833822,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ...  True  True  True]
 [False False False ...  True  True  True]
 [False False False ...  True  True False]]",12,1,14,0_12_1
0,0,40.0,30,41.184954545436156,296.97738251735814,346.19867549668874,220.4645572725043,7.901559050772627,12.67587354876952,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",7,12,15,0_7_12
1,1,31.04834939252005,1,162.50966799187822,21.894082019648327,241.96065205171445,285.02979201798763,7.630105864718006,12.507734916619825,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ...  True  True  True]
 [False False False ...  True  True  True]
 [False False False ...  True  True False]]",7,12,16,1_7_12
0,0,18.973665961010276,1,151.0954544295049,13.911735518031147,375.9919124643197,293.45290199809705,26.979145605375834,14.485799734379956,"[[False False False ...  True False False]
 [False False False ...  True  True False]
 [False False False ...  True  True False]
 ...
 [False  True  True ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",26,14,17,0_26_14
0,0,22.627416997969522,1,131.23759005323583,14.858547762184545,79.36358974358974,108.10358974358974,7.206676014957265,10.968480235042735,"[[False False False ...  True False False]
 [False False False ...  True  True False]
 [False False False ...  True  True False]
 ...
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]
 [False  True  True ... False False False]]",7,10,18,0_7_10
0,0,32.55764119219941,1,164.02438661763946,24.0330116837399,100.95712836123795,135.23871131405377,14.262909188440723,1.897815855952985,"[[False False False ... False False False]
 [False False False ...  True  True False]
 [False False False ...  True  True False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",14,1,19,0_14_1
0,0,22.0,8,23.08641734437201,71.47059569215645,311.56666666666666,191.70060606060605,56.81137152777778,13.750779671717172,"[[False False False ...  True  True  True]
 [False False False ...  True  True  True]
 [False False False ...  True  True  True]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",56,13,20,0_56_13
0,0,36.0,1,173.02438661763966,22.4766004146812,147.2296220107997,372.5430701979943,20.38341047398646,3.2798357546927233,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",20,3,21,0_20_3
0,0,8.94427190999916,1,471.3279938488594,6.420157596177804,302.2822207534699,361.44117647058823,35.78719328321216,31.30874693627451,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]]",35,31,22,0_35_31
0,0,34.52535300326414,6,129.58410693199838,61.913456749832875,139.67942166271968,193.57235448086752,0.3637484939133325,3.745905326872741,"[[False  True  True ... False False False]
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",0,3,23,0_0_3
0,0,8.48528137423857,1,262.4507934888329,6.332615641608707,282.0746089049338,225.37244283995187,34.73456929402327,32.66309259677096,"[[ True False False ... False False False]
 [ True False False ... False False False]
 [ True False False ... False False False]
 ...
 [False False False ...  True False False]
 [False False False ...  True  True  True]
 [False False False ... False  True  True]]",34,32,24,0_34_32
0,0,26.832815729997478,1,126.53910524340084,19.322090157797362,189.15255623721882,409.1153374233129,12.492584781867757,0.1845954754601227,"[[False  True  True ... False False False]
 [False  True  True ... False False False]
 [ True  True  True ... False False False]
 ...
 [False False False ...  True False False]
 [False False False ... False False False]
 [False False False ... False False False]]",12,0,25,0_12_0
0,0,25.45584412271571,5,37.67220378199892,59.062114148553796,145.1541573033708,350.24314606741575,5.378005617977528,9.337908473782772,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",5,9,26,0_5_9
0,0,24.0,3,111.52691193458115,23.51002062657306,296.8657513348589,352.6094584286804,10.773087894101195,1.3317462020086448,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",10,1,27,0_10_1
1,1,24.73863375370596,1,120.39696961966993,17.29279405102113,320.1753121998079,438.6061479346782,10.833789875520333,1.1077964897534422,"[[False  True  True ... False False False]
 [False  True  True ... False False False]
 [ True  True  True ... False False False]
 ...
 [False False False ...  True False False]
 [False False False ... False False False]
 [False False False ... False False False]]",10,1,28,1_10_1
0,0,22.360679774997898,1,120.16652224137034,16.701823124819033,219.39063278525163,263.88988540109614,9.57132977287826,2.562786756767979,"[[False False  True ... False False False]
 [False  True  True ... False False False]
 [False  True  True ... False False False]
 ...
 [False False False ...  True  True False]
 [False False False ...  True False False]
 [False False False ... False False False]]",9,2,29,0_9_2
0,0,24.08318915758459,3,35.441967269268176,132.13149158513676,149.96860986547085,375.87038223361094,8.390543254857997,2.2711708795999717,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",8,2,30,0_8_2
1,1,16.0,5,73.87449011598852,29.4824369898239,358.3347107438017,442.6161616161616,8.93316330922865,2.0973537457912457,"[[False False False ... False False False]
 [False False  True ... False False False]
 [False False  True ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",8,2,31,1_8_2
0,0,17.88854381999832,1,169.75230867899745,12.665512573768064,152.95302325581395,95.85162790697674,49.39831516472868,1.0003863856589148,"[[False  True  True ... False False False]
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]
 ...
 [False False False ...  True  True  True]
 [False False False ...  True  True  True]
 [False False False ...  True  True False]]",49,0,32,0_49_0
0,0,36.05551275463989,1,174.06601717798216,28.138749190726898,161.55818701510822,153.1267864434463,17.420724445351844,2.851232326970192,"[[False False False ...  True False False]
 [False False False ...  True False False]
 [False False False ...  True  True False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",17,2,33,0_17_2
0,0,18.439088914585774,3,144.66736401368436,13.900854651708284,254.9094977623073,248.312282446544,32.663826817089344,1.6033534311287916,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ...  True  True False]
 [False False False ...  True  True False]
 [False False False ...  True  True False]]",32,1,34,0_32_1
0,0,19.697715603592208,1,135.85281374238565,16.03941751351565,69.1652134006425,403.6337769619091,24.18011774323084,11.198870372495028,"[[False False  True ... False False False]
 [False  True  True ... False False False]
 [ True  True  True ... False False False]
 ...
 [False False False ...  True  True False]
 [False False False ...  True False False]
 [False False False ... False False False]]",24,11,35,0_24_11
0,0,16.0,5,73.74011537017756,28.64112687371992,294.85700757575756,39.54829545454545,8.767856790561869,4.147009647253788,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ...  True False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",8,3,36,0_8_3
0,0,16.97056274847714,1,136.208152801713,12.752540609875703,423.5854922279793,88.08923431203225,30.103087219343696,17.020600952312417,"[[False  True  True ... False False False]
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]
 ...
 [False False False ...  True  True False]
 [False False False ...  True  True False]
 [False False False ...  True False False]]",29,16,37,0_29_16
0,0,20.0,3,115.35533905932732,21.39476178671458,263.35656401944897,365.1199351701783,9.685824385467315,1.2991668354943273,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",9,1,38,0_9_1
0,0,20.591260281974,6,82.17600530615354,40.77832680617135,425.29752312742465,302.9823933154282,7.107545633144335,9.460983350741072,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]]",6,9,39,0_6_9
0,0,24.08318915758459,1,141.26702730475876,16.982023659523744,236.67528136723635,182.54564401834097,26.61634187856051,9.774620718702238,"[[False False  True ... False False False]
 [False  True  True ... False False False]
 [False  True  True ... False False False]
 ...
 [False False False ...  True  True  True]
 [False False False ...  True  True False]
 [False False False ...  True  True False]]",26,9,40,0_26_9
0,0,16.1245154965971,3,90.51085635324063,29.631804493516697,255.58985831469053,134.51976137211037,17.665598589361174,1.899688121426796,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",17,1,41,0_17_1
1,1,20.09975124224178,6,19.08641734437201,99.80919758949551,182.7259842519685,198.8472440944882,17.475848917322836,1.7321686351706036,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False  True ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]]",17,1,42,1_17_1
0,0,46.69047011971501,1,151.81118318204307,35.32677822271502,221.5912735409286,436.74846168189447,16.5770606081795,1.1126342143700665,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False  True  True ... False False False]
 [False False  True ... False False False]
 [False False False ... False False False]]",16,1,43,0_16_1
0,0,32.984845004941285,3,58.44848480983499,66.8280796791972,231.5847414234511,296.384024577573,34.60308526412357,5.47816660266257,"[[False False False ... False False False]
 [False False False ... False False False]
 [False False False ... False False False]
 ...
 [False False False ...  True  True False]
 [False False False ... False False False]
 [False False False ... False False False]]",34,5,44,0_34_5
0,0,19.697715603592208,1,144.09545442950497,14.89290559855846,409.31640260950604,349.309412861137,26.065928131795587,11.340340070674122,"[[False False  True ... False False False]
 [ True  True  True ... False False False]
 [ True  True  True ... False False False]
 ...
 [False False False ...  True  True False]
 [False False False ...  True False False]
 [False False False ... False False False]]",25,11,45,0_25_11
0,0,24.166091947189145,1,133.68124086713178,17.16022371665482,399.3435047951177,422.03095030514385,25.039957043737285,12.150961066913688,"[[False  True  True ... False False False]
 [False  True  True ... False False False]
 [ True  True  True ... False False False]
 ...
 [False False False ...  True  True False]
 [False False False ...  True False False]
 [False False False ... False False False]]",24,12,46,0_24_12
